Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Cancer","My Chemical Romance","The Black Parade","Life","Playlist","USRE10602909","0GgN4MhR5GKn5IcKN0e0rG"
"Welcome to the Black Parade","My Chemical Romance","The Black Parade","Life","Playlist","USRE10602613","5wQnmLuC1W7ATsArWACrgW"
"Jolene","Dolly Parton","Jolene","Life","Playlist","USRN19600096","2SpEHTbUuebeLkgs9QB7Ue"
"The Ballad of Mona Lisa","Panic! At The Disco","Vices & Virtues","Life","Playlist","USAT21002551","5rLi8B8qgk6qThwRnKHW2P"
"Still into You","Paramore","Paramore","Life","Playlist","USAT21300012","1yjY7rpaAQvKwpdUliHx0d"
"Sugar, We're Goin Down","Fall Out Boy","From Under The Cork Tree","Life","Playlist","USIR20500201","2TfSHkHiFO4gRztVIkggkE"
"Death of a Bachelor","Panic! At The Disco","Death of a Bachelor","Life","Playlist","USAT21503696","1BECwm5qkaBwlbfo4kpYx8"
"Mr. Brightside","The Killers","Hot Fuss","Life","Playlist","USIR20400274","003vvx7Niy0yvhvHt4a68B"
"Mad Hatter","Melanie Martinez","Cry Baby (Deluxe Edition)","Life","Playlist","USAT21501943","5gWtkdgdyt5bZt9i6n3Kqd"
"Play Date","Melanie Martinez","Cry Baby (Deluxe Edition)","Life","Playlist","USAT21502465","4DpNNXFMMxQEKl7r0ykkWA"
"girls","girl in red","chapter 1","Life","Playlist","GBLFP1858237","7ruJp2Et5P3szRC1QeGMy6"
"i wanna be your girlfriend","girl in red","i wanna be your girlfriend","Life","Playlist","GBLFP1815318","3h3pOvw6hjOvZxRUseB7h9"
"Little Dark Age","MGMT","Little Dark Age","Life","Playlist","USSM11707035","2Y0iGXY6m6immVb2ktbseM"
"Just the Two of Us (feat. Bill Withers)","Grover Washington, Jr.","Anthology","Life","Playlist","USEE19901162","1ko2lVN0vKGUl9zrU0qSlT"
"Piledriver Waltz","Arctic Monkeys","Suck It and See","Life","Playlist","GBCEL1100200","6NGvyhGjKSKkyN3yc4YNhD"
"Dream a Little Dream of Me","Michael Bublé","Special Delivery","Life","Playlist","USRE10401901","2vfINZ5Xnf1HggzoQKgqps"
"An Angel Cried","Frankie Valli & The Four Seasons","Rag Doll","Life","Playlist","USRH11400293","6BQVbqCKuROQNvc5WtwiPG"
"Baby I'm Yours","Arctic Monkeys","Leave Before The Lights Come On","Life","Playlist","GBCEL0600319","6FLqFu1ApSkUddZ9P4H6Io"
"Writer In The Dark","Lorde","Melodrama","Life","Playlist","NZUM71700070","5bMWY1u9ghi4X6fIAsQRaC"
"I Kissed A Girl","Katy Perry","One Of The Boys","Life","Playlist","USCA20801738","005lwxGU1tms6HGELIcUv9"
"Looking Out for You","Joy Again","Looking Out for You","Life","Playlist","GBJET1500070","1lpLrlyweOShEKXT1bpcDd"
"Daddy Issues","The Neighbourhood","Wiped Out!","Life","Playlist","USSM11506747","5E30LdtzQTGqRvNd7l6kG5"
"Twin Size Mattress","The Front Bottoms","Talon Of The Hawk","Life","Playlist","US37V1322204","0Kd1R41kTx9Uzk30yv5PP7"
"I Write Sins Not Tragedies","Panic! At The Disco","A Fever You Can't Sweat Out","Life","Playlist","US56V0507710","4bPQs0PHn4xbipzdPfn6du"
"New Flesh","Current Joys","Wild Heart","Life","Playlist","TCACS1660968","6TEiFwaiHERpdfG6WnGed1"
"Line Without a Hook","Ricky Montgomery","Montgomery Ricky","Life","Playlist","USA2P1624696","5jvgec3P4jyoZUPTy2pWDR"
"Lone Star","The Front Bottoms","Talon Of The Hawk","Life","Playlist","US37V1322210","6BFVrGUZUO1EXxKIdGrlYB"
"Bonfire","Childish Gambino","Camp","Life","Playlist","USYAH1100339","799f6Ih1Pu4AUApMyXhxUc"
"Sure Thing","Miguel","All I Want Is You","Life","Playlist","USJI10800160","0JXXNGljqupsJaZsgSbMZV"
"Thinkin Bout You","Frank Ocean","channel ORANGE","Life","Playlist","USUM71202995","7DfFc7a6Rwfi3YQMRbDMau"
"Sex with a Ghost","Teddy Hyde","Sock-Footed","Life","Playlist","uscgj1853748","1baoZlq32nBee9tcYbQYxV"
"Jenny","Studio Killers","Studio Killers","Life","Playlist","GBX2M1300001","2rpVmxAGGc18wpBREaoE0R"
"Girls in the Hood","Megan Thee Stallion","Girls in the Hood","Life","Playlist","QMCE32000328","6WbTTAGKrQtCQvmc5BuYfh"
"W.A.B","Megan Thee Stallion","Fever","Life","Playlist","QMCE31902213","1lcy01rheR0rAQbw1TWkq9"
"Sex Talk","Megan Thee Stallion","Fever","Life","Playlist","QMCE31902074","6hbg57wH6SyIDnPzwLeeXc"
"Realer","Megan Thee Stallion","Fever","Life","Playlist","QMCE31902188","3qVNNJ7f9RQeNR4iPIeS0c"
"Perfect (Remix) (feat. Doja Cat & BIA)","Cousin Stizz","Perfect (Remix) (feat. Doja Cat & BIA)","Life","Playlist","USRC12000521","31tgCy8mn6sFuIiHSHfEhm"
"American Boy","Estelle","Shine","Life","Playlist","USAT20706210","22UDw8rSfLbUsaAGTXQ4Z8"
"Dead!","My Chemical Romance","The Black Parade","Life","Playlist","USRE10602904","0uukw2CgEIApv4IWAjXrBC"
"She's So Nice","Pink Guy","Pink Season","Life","Playlist","QZ4JJ1704549","0Dfctnkk9xIikDKJ06uwzo"
"Killing Me Softly With His Song","Fugees","The Score (Expanded Edition)","Life","Playlist","USSM19600055","0Q0IVlqMV64kNLlwjPj0Hl"
"Big Poppa - 2007 Remaster","The Notorious B.I.G.","Greatest Hits","Life","Playlist","USBB40706423","63BcfK6YAzJYeISaTPr6IO"
"All Night Long","Mary Jane Girls","In My House","Life","Playlist","USMO18300068","7iyjZ4paFWpTrJJenM0yZb"
"Departure!","Masatoshi Ono","HUNTER×HUNTER セレクト×ベスト×α","Life","Playlist","JPVP01107401","5sjoJa0YmBCCPMrBPsBMge"
"Rät","Penelope Scott","Public Void","Life","Playlist","QZK6F2019397","25z6kpmIwkCUqk2IORrJ5v"
"Space Girl","Frances Forever","Space Girl","Life","Playlist","QZFZ72019335","5tfZ1uYrArdbDqiZ7z1aCE"
"Strawberry Mentos","Leanna Firestone","Strawberry Mentos","Life","Playlist","QZMER2038815","7l8dLpLu5te7vTQymwJFOQ"
"Animal","Sir Chloe","Animal","Life","Playlist","QZDA71914491","6YpI4sWbjUhVPdlpwYwCO6"
"Weather","Freddie Dredd","Weather","Life","Playlist","QZHN41959966","4fvneyc3bVlvzUuvKU6MpM"
"Cha Cha","Freddie Dredd","Cha Cha","Life","Playlist","QZDA41930017","1vvBUZseJ7fwYPX1NedOLd"
"Unbothered","Ski Mask The Slump God","STOKELEY","Life","Playlist","USUM71820945","5hwUsRKvnO5yThjVrxHQVt"
"So What","P!nk","Funhouse (Expanded Edition)","Life","Playlist","USLF20800067","0JiY190vktuhSGN6aqJdrt"
"Judas","Lady Gaga","Born This Way","Life","Playlist","USUM71104998","0QkWikH5Z3U0f79T9iuF6c"
"Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)","Life","Playlist","USUM70918596","0SiywuOBRcynK0uKGWdCnn"
"LOVE. FEAT. ZACARI.","Kendrick Lamar","DAMN.","Life","Playlist","USUM71703088","6PGoSes0D9eUDeeAafB2As"
"Why'd You Only Call Me When You're High?","Arctic Monkeys","AM","Life","Playlist","GBCEL1300370","2v8X6L6j0kbUPXDZwtXvXU"
"20 Min","Lil Uzi Vert","Luv Is Rage 2 (Deluxe)","Life","Playlist","USAT21704166","0uxSUdBrJy9Un0EYoBowng"
"On Some","Flipp Dinero","The Guala Way","Life","Playlist","QMKSC1700084","4c2snHN2klhEe8aEHnC1Qq"
"Burning Pile","Mother Mother","O My Heart","Life","Playlist","CAL450882102","0zMAvsQmaQ4DGsmXtKixpn"
"Space Cadet (feat. Gunna)","Metro Boomin","NOT ALL HEROES WEAR CAPES (Deluxe)","Life","Playlist","USUG11802484","1fewSx2d5KIZ04wsooEBOz"
"Once I Had A Love (AKA The Disco Song) - 1975 Version / Remastered 2001","Blondie","Plastic Letters","Life","Playlist","USCA20700894","0UFLbtupYWaDGMS4io94Ml"
"Pretty Rave Girl","S3RL","Old Skool Masters - S3RL","Life","Playlist","GBTWT0900865","3G1SVODcssMmS5YM5G3tun"
"2K FREESTYLE","Lazy3x","2K FREESTYLE","Life","Playlist","QM42K2005395","612dHPI0OoOsvWkweHXZXF"
"Bakugo!","KVMIL","Bakugo!","Life","Playlist","QZES51833461","2IvdQFwO9U9EAMJGwEvOcK"
"Eyes Blue Like The Atlantic (feat. Subvrbs)","Sista Prod","Eyes Blue Like The Atlantic (feat. Subvrbs)","Life","Playlist","USAT22004834","0qUcpOOna3kkrwfqky85e1"
"The Bidding","Tally Hall","Marvin's Marvelous Mechanical Museum","Life","Playlist","TCAAY1150083","0HBrtXJohbIW4IhPZ50GmH"
"Teenage Dirtbag","Wheatus","Songs From Dawson's Creek, Vol. II","Life","Playlist","USSM10008431","3LI4MmibTkXH5cGpCGZgyw"
"Redbone","Childish Gambino","""Awaken, My Love!""","Life","Playlist","USYAH1600107","0wXuerDYiBnERgIpbb3JBR"
"Mayonaka no Door / Stay With Me","Miki Matsubara","Miki Matsubara Best Collection","Life","Playlist","JPPC07950030","2BHj31ufdEqVK5CkYDp9mA"
"Do I Wanna Know?","Arctic Monkeys","AM","Life","Playlist","GBCEL1300362","5FVd6KXrgO9B3JPmC8OPst"
"I Wanna Be Yours","Arctic Monkeys","AM","Life","Playlist","GBCEL1300373","5XeFesFbtLpXzIVDNQP22n"
"Primadonna","MARINA","Electra Heart (Deluxe)","Life","Playlist","GBFFS1200009","5tFMuAw6X2R4NLx97g7n9q"
"Oh No!","MARINA","The Family Jewels (Deluxe)","Life","Playlist","GBFFS0900127","0VVNXqaDwfHngG2gXaOtlI"
"Ready or Not","Bridgit Mendler","Hello My Name Is...","Life","Playlist","USHR11233750","5xvUgoVED1F4mBu8FL0HaW"
"Everybody Talks","Neon Trees","Picture Show","Life","Playlist","USUM71119189","2iUmqdfGZcHIhS3b9E9EWq"
"Eenie Meenie - Radio Version","Sean Kingston","Eenie Meenie EP","Life","Playlist","USSM11000814","4Yaw2PmyOETOnEM3TCf98I"
"Down","Jay Sean","All Or Nothing","Life","Playlist","USCM50900094","7LP4Es66zdY7CyjepqmvAg"
"Pluto Projector","Rex Orange County","Pony","Life","Playlist","USRC11902533","4EWBhKf1fOFnyMtUzACXEc"
"popipo","","epic","Life","Playlist","","32tO5oCnXcjMDsM7laAmEf"
"New Patek","Lil Uzi Vert","New Patek","Life","Playlist","USAT21811270","0Fpen1PTuEnCmOJtUU9Iud"
"Moonlight","XXXTENTACION","?","Life","Playlist","USUG11800209","0JP9xo3adEtGSdUEISiszL"
"Hopelessly Devoted To You","Olivia Newton-John","20th Century Masters: The Millennium Collection: Best Of Olivia Newton-John","Life","Playlist","NLF057890003","5nNpVC9AC6DWgrT5RX0e0b"
"DONTTRUSTME","3OH!3","WANT","Life","Playlist","USAT20802554","5jzX4dWVQeBTtfBaXnMRt5"
"Broken","Kissy Blessed","Broken","Life","Playlist","FRX452079575","2rJVFqsApnCrNU82WVGrn8"
"Saint Bernard","Lincoln","A Constant State of Ohio","Life","Playlist","USBAL1600001","4YTFAawmOFyRjJdT6H95oE"
"This December","Ricky Montgomery","Montgomery Ricky","Life","Playlist","USA2P1624695","7xex78pjGHt9FnXgIWHe24"
"Class of 2013","Mitski","Retired from Sad, New Career in Business","Life","Playlist","ushm81309669","4N2ibi4kcH4D5ZYYvMiKsg"
"Lemon Boy","Cavetown","Lemon Boy","Life","Playlist","USCGH1805100","3Yvk0ZLxMlt6ioasvdN6vB"
"Hey Lover!","Wabie","Cyclones and Hey Lover","Life","Playlist","QZFYZ1923384","7rC3P7tpWriaC4hYWKwGQd"
"Out of My League","Fitz and The Tantrums","More Than Just a Dream (Deluxe Edition)","Life","Playlist","USAT21300149","2AYEOC02WLhUiOoaig2SEH"
"Sleeping With A Friend","Neon Trees","Pop Psychology","Life","Playlist","USUM71319540","0K1KOCeJBj3lpDYxEX9qP2"
"Strawberry Blond","Mitski","Retired from Sad, New Career in Business","Life","Playlist","ushm81309668","3eGsNpXzcb1BDkfSJI54NY"
"Take Me to Church","Hozier","Hozier (Expanded Edition)","Life","Playlist","USSM11307291","1CS7Sd1u5tWkstBhpssyjP"
"Jealous","Eyedress","Jealous","Life","Playlist","GBMYF1900115","5s2zbxZI4Ym5LTKwjZHS2V"
"bad idea!","girl in red","bad idea!","Life","Playlist","GBKPL1963282","1M4Ud66z18wuIq3oOxqVHa"
